lambda-u utility-finmean-conloop
0.0 6.537005444881376
0.1 6.400674413196591
0.2 6.265601653434627
0.3 6.131957906325258
0.4 5.999915253982461
0.5 5.869635098524298
0.6 5.7412533698183195
0.7 5.614865302764754
0.8 5.490513216814319
0.9 5.36818066624228
1.0 5.247794744301718
1.0 4.818097685049484
0.9 4.947548537314843
0.8 5.075052760948719
0.7 5.200537449204207
0.6 5.32398615635656
0.5 5.445441201856505
0.4 5.5649978206042565
0.3 5.682791942467379
0.2 5.798984969563931
0.1 5.913748984007886
0.0 6.0272547265290255
