lambda-u utility-finmean-conloop
0.0 6.182011957492731
0.1 6.0266827346449325
0.2 5.8578914754391125
0.3 5.695876980157205
0.4 5.503752789767358
0.5 5.328304421579629
0.6 5.153524947220715
0.7 5.002501415625287
0.8 4.817327824015868
0.9 4.5008347905468975
1.0 4.284848076218644
1.0 4.156299317961757
0.9 4.357331924273061
0.8 4.574596347881172
0.7 4.74784296161267
0.6 4.875073657341046
0.5 5.026705056007971
0.4 5.177667560846082
0.3 5.345425907731958
0.2 5.482734977656731
0.1 5.62566092641887
0.0 5.756312557260471
