lambda-u utility-finmean utility-stderrfinmean
0.0 8.166934402295801 0.21783170523845705
0.1 8.420078685798085 0.35988153007693674
0.2 8.673222969300369 0.6886797104999013
0.3 8.926367252802653 1.0400700628795285
0.4 9.179511536304938 1.3971086900533234
0.5 9.43265581980722 1.7563543526370433
0.6 9.685800103309505 2.1166836079848945
0.7 9.938944386811789 2.477623729438573
0.8 10.192088670314071 2.8389417318998533
0.9 10.445232953816355 3.2005096365498202
1.0 10.698377237318638 3.562251349112563
