lambda-u utility-finmean-conloop
0.0 8.487551951482354
0.1 7.788668621862737
0.2 7.090371886761508
0.3 6.392854422407379
0.4 5.696393469110187
0.5 5.001393984558421
0.6 4.308450871165942
0.7 3.618425350287475
0.8 2.932496387278436
0.9 2.2520734987443367
1.0 1.578412629914042
1.0 1.311612613844638
0.9 1.9786071662405946
0.8 2.638839698932751
0.7 3.2935661571499617
0.6 3.944196057497747
0.5 4.591908365331518
0.4 5.237564302005997
0.3 5.881758769935064
0.2 6.524896726807182
0.1 7.167255412932208
0.0 7.809027504538844
