lambda-u utility-finmean-conloop
0.0 7.335118057781799
0.1 9.383960662920629
0.2 11.620917177703417
0.3 13.871257483094073
0.4 15.390941333229865
0.5 17.428803869554223
0.6 19.46716389925875
0.7 17.36275011414337
0.8 18.711740158106153
0.9 17.2056464869574
1.0 17.948554967875157
1.0 1.421653276491
0.9 2.317122926765821
0.8 2.629848849567127
0.7 3.267240046760951
0.6 4.220098948271817
0.5 4.709504388042177
0.4 5.198412334432379
0.3 5.65674159886273
0.2 6.120058586830991
0.1 6.598244331071851
0.0 6.799027708346197
