lambda-u utility-finmean-conloop
0.0 7.335118057781799
0.1 8.631906353567814
0.2 10.133227152358906
0.3 11.647532326297032
0.4 13.165211317071446
0.5 14.684253706868956
0.6 16.203980803474646
0.7 17.72410008250727
0.8 19.244464825252724
0.9 20.764993364249527
1.0 22.28563663596125
1.0 4.932403353516353
0.9 5.144657202893117
0.8 5.356796319554953
0.7 5.5687716399654485
0.6 5.78050149666311
0.5 5.991839170933842
0.4 6.202492138396398
0.3 6.411781706835851
0.2 6.61769745843901
0.1 6.810628834895146
0.0 6.799027708346197
