lambda-u utility-finmean-conloop
0.0 7.335118057781799
0.1 10.997550948126221
0.2 15.312793843175482
0.3 19.417943269998965
0.4 23.375086791349375
0.5 27.414019096573867
0.6 31.453253714482855
0.7 33.27156761955104
0.8 36.89447035250545
0.9 34.25425066553217
1.0 36.89437769790048
1.0 4.461489439981122
0.9 5.055611752354952
0.8 3.6798055906071845
0.7 4.187023609862708
0.6 5.927836582839859
0.5 6.135812035849341
0.4 6.343485176174314
0.3 6.680977009862787
0.2 6.808796053295557
0.1 6.86663798026338
0.0 6.799027708346197
