lambda-u utility-finmean-conloop
0.0 7.421743598285823
0.1 7.662116687944711
0.2 7.959909803756231
0.3 8.278149812378988
0.4 8.604538134477252
0.5 8.934806167542463
0.6 9.267188624505575
0.7 9.600841132823676
0.8 9.82836700651728
0.9 10.053117953241873
1.0 10.039190021327418
1.0 6.525380958745782
0.9 7.001859281287559
0.8 7.105055918812007
0.7 7.163745973629964
0.6 7.157155250407947
0.5 7.149294475830939
0.4 7.1393192773560274
0.3 7.125464367914174
0.2 7.103461144996812
0.1 7.061011029268209
0.0 6.961140887386985
