lambda-u utility-finmean-conloop
0.0 7.028340640166326
0.1 7.342263239340828
0.2 7.460822017341734
0.3 7.610220130888878
0.4 7.633753988315552
0.5 7.684731778354364
0.6 7.7528794534682675
0.7 7.735270229094996
0.8 7.649633568302888
0.9 7.488547296729002
1.0 6.501320956508131
1.0 3.64705062552243
0.9 4.8643423030985025
0.8 5.371161073321557
0.7 5.7217359423263945
0.6 6.045194663750067
0.5 6.225767972660916
0.4 6.38917139649667
0.3 6.525130887720291
0.2 6.531077579064382
0.1 6.477447766862228
0.0 6.1067093598336735
