lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.8932477560934 0.008612068649728861 10.0 bitstar-default-sc10.00
0.1 3.8239988802372387 0.016144768897841097 1.6 bitstar-default-sc01.60
0.2 3.612049331002676 0.014329522904928067 1.6 bitstar-default-sc01.60
0.3 3.3253157094246735 0.01974423945958195 1.0 bitstar-default-sc01.00
0.4 3.0383353133820328 0.01704904756197693 1.0 bitstar-default-sc01.00
0.5 2.6837363453869902 0.024580375377981724 0.4 bitstar-default-sc00.40
0.6 2.290279663734828 0.02044328147063313 0.4 bitstar-default-sc00.40
0.7 1.896822982082666 0.016447208721963612 0.4 bitstar-default-sc00.40
0.8 1.406207070400704 0.024385155444920713 0.0 bitstar-default-sc00.00
0.9 0.8613300037634417 0.01531371941925745 0.0 bitstar-default-sc00.00
1.0 0.31645293712618 0.007833231163467774 0.0 bitstar-default-sc00.00
