lambda-u utility-finmean-conloop
0.0 6.58172688079321
0.1 5.989889370026654
0.2 5.398071176612291
0.3 4.806280070031887
0.4 4.214528621953549
0.5 3.6228385824215366
0.6 3.031251083996633
0.7 2.4398542313880394
0.8 1.848875682454682
0.9 1.2591234007649712
1.0 0.6759710874222851
1.0 0.6057750521039551
0.9 1.1074399897027245
0.8 1.602504958954469
0.7 2.0963436609625687
0.6 2.5897640592954314
0.5 3.082993811811985
0.4 3.576121023221426
0.3 4.069186826084541
0.2 4.5622129704455965
0.1 5.055212027972691
0.0 5.548191768147592
