lambda-u utility-finmean-conloop
0.0 4.821480480481549
0.1 4.78767458069167
0.2 4.755091513142957
0.3 4.723839913342132
0.4 4.693969931785958
0.5 4.665461382382435
0.6 4.638228620390547
0.7 4.61213963207754
0.8 4.587040452029027
0.9 4.562776227069444
1.0 4.539204804082236
1.0 4.327960399012164
0.9 4.364913782970477
0.8 4.401174364956414
0.7 4.436599991853424
0.6 4.471035810485934
0.5 4.504327855439567
0.4 4.536344112981563
0.3 4.566998938370909
0.2 4.596272145515605
0.1 4.624213884912409
0.0 4.650932792068049
