lambda-u utility-finmean-conloop
0.0 4.758897661302651
0.1 4.742567002642879
0.2 4.742713629097787
0.3 4.729710150727093
0.4 4.693969931785958
0.5 4.665461382382435
0.6 4.638228620390547
0.7 4.899334454490655
0.8 4.859080905078917
0.9 4.586438338575049
1.0 4.385514703231287
1.0 4.277105078262313
0.9 4.422911329663271
0.8 4.404032294056444
0.7 4.471976970570384
0.6 4.471035810485934
0.5 4.504327855439567
0.4 4.536344112981563
0.3 4.566244411717389
0.2 4.585216416732932
0.1 4.58273579869064
0.0 4.609896883988547
