lambda-u utility-finmean-conloop
0.0 4.928811093864292
0.1 4.896948465593892
0.2 4.6184213603790765
0.3 4.370772147897418
0.4 4.004817454526813
0.5 3.640563152713708
0.6 3.2788175653286515
0.7 2.9107604036320027
0.8 2.4365812359361767
0.9 1.8337725195278936
1.0 0.8872868587160239
1.0 0.6289414547299761
0.9 1.4250880825735062
0.8 2.069519286820623
0.7 2.4602762237801996
0.6 2.93236371073895
0.5 3.2443563640092905
0.4 3.5538403028515866
0.3 3.8616238501363833
0.2 4.150076238310125
0.1 4.378082793750705
0.0 4.429469906135708
