lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.6791405 0.1273829560532102 10.0 rrtconnect-default-sc10.00
0.1 4.637515629672299 0.13236369179673166 1.6 rrtconnect-default-sc01.60
0.2 4.384248799344601 0.11947579644616105 1.6 rrtconnect-default-sc01.60
0.3 4.116197999016901 0.12988476983699873 1.0 rrtconnect-default-sc01.00
0.4 3.7793288786891996 0.11504519175388414 1.0 rrtconnect-default-sc01.00
0.5 3.4424597583614993 0.10107316038378002 1.0 rrtconnect-default-sc01.00
0.6 3.1055906380338008 0.08838108535451562 1.0 rrtconnect-default-sc01.00
0.7 2.685518313706101 0.11491943363566416 0.63 rrtconnect-default-sc00.63
0.8 2.2530502613784 0.09363825232539637 0.63 rrtconnect-default-sc00.63
0.9 1.6294303010506999 0.10425623391693556 0.0 rrtconnect-default-sc00.00
1.0 0.758114156723 0.06590443979235912 0.0 rrtconnect-default-sc00.00
