lambda-u utility-finmean-conloop
0.0 4.928811093864292
0.1 4.882667228336698
0.2 4.6184213603790765
0.3 4.340932502511645
0.4 4.06488541109957
0.5 3.640563152713708
0.6 3.2788175653286515
0.7 2.920816679666371
0.8 2.4365812359361767
0.9 1.8435601380005517
1.0 0.8872868587160239
1.0 0.6289414547299761
0.9 1.4757964161008477
0.8 2.069519286820623
0.7 2.61662635574583
0.6 2.93236371073895
0.5 3.2443563640092905
0.4 3.6905448662788287
0.3 3.9210314355221505
0.2 4.150076238310125
0.1 4.3969828670079005
0.0 4.429469906135708
