lambda-u utility-finmean-conloop
0.0 10.567679848970531
0.1 9.594991663406576
0.2 8.622425924281087
0.3 7.650029552176506
0.4 6.677876783642147
0.5 5.706092239203937
0.6 4.734901768219292
0.7 3.7647589041140015
0.8 2.79671493196997
0.9 1.8337725195278936
1.0 0.8872868587160239
1.0 0.6289414547299761
0.9 1.4250880825735062
0.8 2.20477795878683
0.7 2.9793662752982013
0.6 3.7518556998483077
0.5 4.523297517519065
0.4 5.29414526173625
0.3 6.064624781857293
0.2 6.834860698408111
0.1 7.604927247938027
0.0 8.374871351029473
