dumping ...
  found len: 945.5163940193031
  found len: 936.9444478361929
  found len: 981.2383094910356
  found len: 744.2232529049845
  found len: 885.2518937737661
  found len: 877.8406569366643
  found len: 945.7175317798168
  found len: 858.0958973767891
  found len: 907.805004305468
  found len: 776.7194181557369
  found len: 805.7273493717413
  found len: 800.4867348184993
  found len: 807.1859722970545
  found len: 989.5560004001179
  found len: 929.9968719014811
  found len: 942.557576737258
  found len: 956.5889945015322
  found len: 873.4599491455178
  found len: 937.4590009235509
  found len: 1054.520746416495
  found len: 920.0276422259029
  found len: 901.3434493040386
  found len: 824.2968668727548
  found len: 979.5354637198776
  found len: 874.821095581607
  found len: 1042.5691393517586
  found len: 973.1439532820084
  found len: 1005.1889092057728
  found len: 847.8191441404972
  found len: 892.2129176789509
  found len: 773.5790453316786
  found len: 870.6777818420192
  found len: 804.9969431970899
  found len: 888.2006745434337
  found len: 1043.3753197642905
  found len: 826.0036994698621
  found len: 1215.0340211589184
  found len: 1029.8845092688102
  found len: 894.1945092931609
  found len: 920.1282771686477
  found len: 831.0873250068408
  found len: 1031.4439517177777
  found len: 852.2892600721201
  found len: 752.418141884605
  found len: 1073.3531954123762
  found len: 980.6070328571553
  found len: 833.4612090906827
  found len: 974.4358890508045
  found len: 977.847250438972
  found len: 867.8896985348201
  found len: 1295.068161314911
  found len: 802.3302046414742
  found len: 742.0226341755667
  found len: 1028.1026358141933
  found len: 912.7523000150036
  found len: 1016.3406260462447
  found len: 913.0919408945415
  found len: 971.3137420861958
  found len: 856.6095642112421
  found len: 858.9364202037995
  found len: 861.3171074542017
  found len: 679.7208081685973
  found len: 1026.9036297806063
  found len: 942.2742259934334
  found len: 849.5032024392718
  found len: 824.8795457512937
  found len: 1138.881935817384
  found len: 1085.4522795812209
  found len: 1040.3233866304201
  found len: 915.1020519515758
  found len: 832.2025386955253
  found len: 850.0171339520249
  found len: 796.54921425889
  found len: 910.9666127198349
  found len: 877.4591495896208
  found len: 802.8537928276602
  found len: 822.435822050094
  found len: 953.4511232385308
  found len: 925.1013999181566
  found len: 909.4898635211146
  found len: 848.2095771088461
  found len: 1065.1926107834581
  found len: 1068.2344830713232
  found len: 1189.573913605031
  found len: 807.1530590266526
  found len: 784.3990122110649
  found len: 852.1663616429461
  found len: 904.9578253602058
  found len: 768.5790075936044
  found len: 972.8662644436922
  found len: 815.1160087505859
  found len: 1002.9324943548651
  found len: 839.4015150981335
  found len: 910.4941482854282
  found len: 993.7516277417981
  found len: 942.3286216787536
  found len: 880.0344771049503
  found len: 771.7598305086244
  found len: 812.9808482748933
  found len: 811.6399225558588
averaged 100 values!
average path length: 911.419829825036
average check cost: 1012.39
